1;;
2;i;0,03
3;;
4;;
5;lx;ly
6;100000;100000
7;99920,8;99958,4
8;99841,66273;99916,81731
9;99762,58813;99875,25191
10;99683,57616;99833,7038
11;99604,62677;99792,17298
12;99525,7399;99750,65944
13;99446,91552;99709,16317
14;99368,15356;99667,68415
15;99289,45398;99626,2224
16;99210,81673;99584,77789
17;99132,24177;99543,35062
18;99053,72903;99501,94059
19;98975,27848;99460,54778
20;98896,89006;99419,17219
21;98818,56372;99377,81382
22;98740,29942;99336,47265
23;98662,0971;99295,14867
24;98559,48852;99247,487
25;98431,5583;99194,1911
26;98290,11216;99138,64235
27;98145,03595;99083,12471
28;98000,17388;99027,63816
29;97855,52562;98972,18269
30;97711,09086;98916,75827
31;97566,86929;98861,36488
32;97422,8606;98806,00252
33;97279,06445;98750,67115
34;97135,48055;98693,29701
35;96992,10858;98632,89672
36;96848,94823;98569,2785
37;96705,99918;98501,36427
38;96563,26113;98428,96576
39;96419,47843;98351,89588
40;96269,93182;98269,96875
41;96111,95286;98181,82059
42;95944,04528;98086,48604
43;95764,72586;97982,80863
44;95572,52606;97869,5405
45;95365,42039;97745,53979
46;95140,93019;97609,67349
47;94896,51314;97460,91635
48;94628,62029;97297,9617
49;94336,50174;97121,65779
50;94016,98401;96930,91086
51;93666,67672;96724,83574
52;93282,64335;96502,85224
53;92860,81924;96263,52517
54;92398,09377;96005,92397
55;91889,16507;95727,31478
56;91329,1925;95425,67801
57;90712,62912;95098,84507
58;90033,64509;94744,31657
59;89286,18577;94359,08618
60;88463,41357;93939,18825
61;87561,52907;93482,45591
62;86577,68773;92986,71845
63;85509,31906;92449,53418
64;84353,31858;91866,91721
65;83106,23912;91234,50536
66;81764,07335;90547,50953
67;80322,98156;89801,39805
68;78778,93289;88991,20984
69;77128,04157;88111,62072
70;75366,977;87156,57886
